2025-02-21 18:21:26,521 - logger - INFO - Logger is setup
2025-02-21 18:23:32,504 - logger - INFO - Logger is setup
2025-02-21 18:26:45,562 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:40.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:26:45,562 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:40.5', 'value': 4895.5625, 'unit': 'Seconds'}
2025-02-21 18:26:51,563 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:51.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:26:51,564 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:51.5', 'value': 4898.484375, 'unit': 'Seconds'}
2025-02-21 18:26:56,564 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:51.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:26:56,564 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:51.5', 'value': 4898.484375, 'unit': 'Seconds'}
2025-02-21 18:27:02,565 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:02.5', 'value': 2.5, 'unit': 'Percent'}
2025-02-21 18:27:02,565 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:02.5', 'value': 4901.78125, 'unit': 'Seconds'}
2025-02-21 18:27:07,566 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:02.5', 'value': 2.5, 'unit': 'Percent'}
2025-02-21 18:27:07,567 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:02.5', 'value': 4901.78125, 'unit': 'Seconds'}
2025-02-21 18:27:13,569 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:13.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:27:13,570 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:13.5', 'value': 4902.546875, 'unit': 'Seconds'}
2025-02-21 18:27:18,570 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:13.5', 'value': 1.1, 'unit': 'Percent'}
2025-02-21 18:27:18,570 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:13.5', 'value': 4902.546875, 'unit': 'Seconds'}
2025-02-21 18:27:24,572 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:24.5', 'value': 0.4, 'unit': 'Percent'}
2025-02-21 18:27:24,572 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:27:24.5', 'value': 4902.9375, 'unit': 'Seconds'}
2025-02-21 18:27:29,573 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:27:24.5', 'value': 0.4, 'unit': 'Percent'}
